2.4.1,Chemical or fertiliser production discharging to water course via on-site effluent plant inc. incineration/combustion/treatment of hazardous waste.
2.4.2,Chemical or fertiliser production discharging to a water course via on-site effluent treatment plant and including no more than one combustion plant.
2.4.3,Chemical/fertiliser or pharmaceutical production discharging to a water course via an on-site effluent treatment plant.
2.4.4,"Chemical production or chemical fertiliser production, involving large scale continuous operations and discharging to sewer."
2.4.5,"Chemical/fertiliser or pharmaceutical production, batch or semi-continuous operations, discharging to sewer, inc. more than three Chapter 4 activities"
2.4.6,"Chemical production, or chemical fertiliser or pharmaceutical production, involving batch or semi-continuous operations and discharging to sewer."
2.4.7,"Chemical production, or chemical fertiliser or pharmaceutical production, involving small scale or simple batch operations."
2.4.8,Section 4.1 or 4.2 - anaerobic digestion (designed to be fed with non-waste crops).
2.4.9,Section 4.4 - large scale plant health products & biocides - production of 2000 tonnes or more a year.
2.4.10,Section 4.4 - plant health products and biocides - production of less than 2000 tonnes a year.
2.4.11,Section 4.6 or 4.7 - explosives production or activities involving carbon disulphide or ammonia.
2.4.12,Chemical production incidental to the primary purpose of the installation and not for commercial purposes.
2.5.1,"Oil refining; inc. refinery combustion plant, incineration of refinery waste, production of petroleum coke, effluent treatment and cooling water."
2.5.2,"Gas refining; including refinery combustion plant, incineration of refinery waste, on site effluent treatment and cooling water activities."
2.5.3,"Petroleum distillation; inc. plant for refining of liquid petroleum residues and bitumen distillation, effluent treatment and cooling water."
2.5.4,Crude oil storage with a tank storage capacity of 500 tonnes or more; including any on site effluent treatment and cooling water activities.
2.5.5,Section 1.2A(1)(a) or (f) - gathering station; including any on site effluent treatment plant and cooling water activities.
2.5.6,Production of synthetic fuels and carbonisation plant; including any on site effluent treatment plant and cooling water activities.
2.6.1,Section 5.1 - new mass-burn incineration or co-incineration plant - 1 line.
2.6.2,Section 5.1 - new mass-burn incineration or co-incineration plant - 2 lines.
2.6.3,Section 5.1 - new mass-burn incineration or co-incineration plant - 3 lines.
2.6.4,Section 5.1 - new mass-burn incineration or co-incineration plant - 4 lines.
2.6.5,Section 5.1 - new mass-burn incineration or co-incineration plant - 5 lines.
2.6.6,Section 5.1 - new gasification or pyrolysis incineration or co-incineration plant - 1 line.
2.6.7,Section 5.1 - new gasification or pyrolysis incineration or co-incineration plant - 2 lines.
2.6.8,Section 5.1 - new gasification or pyrolysis incineration or co-incineration plant - 3 lines.
2.6.9,Section 5.1 - new gasification or pyrolysis incineration or co-incineration plant - 4 lines.
